Line,,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,    Gross domestic product,A191RC,"104,556","92,160","77,391","59,522","57,154","66,800","74,241","84,830","93,003","87,352","93,437","102,899","129,309","165,952","203,084","224,447","228,007","227,535","249,616","274,468","272,475","299,827","346,914","367,341","389,218","390,549","425,478","449,353","474,039","481,229","521,654","542,382","562,210","603,921","637,451","684,460","742,289","813,414","859,958","940,651","1,017,615","1,073,303","1,164,850","1,279,110","1,425,376","1,545,243","1,684,904","1,873,412","2,081,826","2,351,599","2,627,334","2,857,307","3,207,042","3,343,789","3,634,038","4,037,613","4,338,979","4,579,631","4,855,215","5,236,438","5,641,580","5,963,144","6,158,129","6,520,327","6,858,559","7,287,236","7,639,749","8,073,122","8,577,552","9,062,817","9,630,663","10,252,347","10,581,822","10,936,418","11,458,246","12,213,730","13,036,637","13,814,609","14,451,860","14,712,845","14,448,932","14,992,052","15,542,582","16,197,007","16,784,851","17,527,258","18,224,780","18,715,040","19,519,424","20,580,223","21,427,690"
2,Personal consumption expenditures,DPCERC,"77,382","70,136","60,672","48,714","45,945","51,461","55,932","62,188","66,839","64,272","67,209","71,288","81,072","89,002","99,903","108,648","119,977","144,198","161,852","174,878","178,333","192,044","208,339","219,320","232,740","239,608","258,288","271,128","286,296","295,606","317,130","331,180","341,475","362,557","382,035","410,632","442,973","479,919","506,685","556,852","603,639","646,724","699,937","768,153","849,575","930,161","1,030,547","1,147,666","1,273,975","1,422,252","1,585,420","1,750,667","1,933,951","2,071,256","2,281,605","2,492,340","2,712,830","2,886,278","3,076,279","3,330,012","3,576,758","3,808,994","3,943,449","4,197,559","4,451,984","4,720,965","4,962,590","5,244,596","5,536,790","5,877,248","6,279,078","6,762,144","7,065,634","7,342,686","7,723,109","8,212,662","8,747,118","9,260,345","9,706,431","9,976,330","9,842,209","10,185,836","10,641,109","11,006,814","11,317,210","11,822,753","12,284,281","12,748,483","13,312,060","13,998,666","14,562,662"
3,  Goods,DGDSRC,"43,770","38,164","31,709","24,127","23,756","28,483","31,628","35,969","38,373","36,006","37,921","40,632","47,448","51,026","56,332","60,531","67,624","86,245","99,429","107,420","108,081","116,830","124,748","128,785","134,835","135,766","147,398","152,154","159,602","161,568","172,607","177,015","178,808","188,969","198,154","212,252","229,675","249,619","258,991","284,617","304,678","318,794","342,116","373,815","416,635","451,538","491,334","546,305","600,384","663,567","737,938","799,794","869,368","899,290","973,783","1,063,700","1,137,609","1,195,627","1,256,297","1,337,309","1,423,805","1,491,301","1,497,434","1,563,268","1,642,347","1,746,554","1,815,533","1,917,671","2,006,506","2,108,439","2,287,062","2,453,172","2,525,593","2,598,805","2,722,597","2,902,021","3,082,923","3,239,655","3,367,031","3,363,221","3,180,022","3,317,825","3,518,121","3,637,739","3,729,973","3,862,956","3,920,335","3,995,905","4,165,019","4,364,783","4,504,964"
4,    Durable goods,DDURRC,"9,829","7,661","5,911","3,959","3,762","4,564","5,493","6,749","7,393","6,123","7,168","8,287","10,268","7,630","7,471","7,743","9,098","17,114","21,833","24,453","26,623","32,445","31,739","31,243","34,616","33,713","40,745","40,169","42,027","39,530","44,888","45,625","44,206","49,465","54,228","59,556","66,390","71,745","73,981","84,828","90,483","89,988","102,446","116,444","130,527","130,177","142,165","168,624","191,963","213,348","226,340","226,391","243,938","253,032","295,031","342,156","380,365","421,439","442,022","475,053","494,330","497,079","477,183","508,081","551,532","607,171","635,738","676,295","715,530","779,293","855,568","912,572","941,515","985,368","1,017,801","1,080,574","1,128,610","1,158,333","1,188,043","1,098,761","1,012,121","1,048,962","1,093,499","1,144,221","1,189,413","1,242,075","1,305,897","1,352,645","1,412,570","1,475,585","1,526,830"
5,    Nondurable goods,DNDGRC,"33,941","30,503","25,798","20,169","19,994","23,919","26,135","29,221","30,980","29,883","30,754","32,345","37,180","43,395","48,861","52,788","58,525","69,131","77,596","82,966","81,457","84,384","93,009","97,542","100,219","102,053","106,653","111,985","117,575","122,038","127,719","131,390","134,602","139,504","143,927","152,696","163,285","177,874","185,009","199,788","214,195","228,806","239,670","257,371","286,108","321,361","349,170","377,680","408,421","450,218","511,598","573,402","625,430","646,258","678,753","721,545","757,244","774,188","814,275","862,256","929,475","994,222","1,020,252","1,055,186","1,090,814","1,139,382","1,179,795","1,241,376","1,290,976","1,329,146","1,431,493","1,540,600","1,584,078","1,613,437","1,704,797","1,821,447","1,954,313","2,081,322","2,178,988","2,264,460","2,167,901","2,268,862","2,424,622","2,493,518","2,540,559","2,620,881","2,614,438","2,643,260","2,752,450","2,889,199","2,978,133"
6,  Services,DSERRC,"33,613","31,972","28,963","24,587","22,189","22,978","24,305","26,218","28,466","28,266","29,287","30,655","33,624","37,976","43,570","48,117","52,354","57,953","62,423","67,459","70,252","75,215","83,591","90,535","97,905","103,842","110,890","118,973","126,693","134,038","144,523","154,165","162,667","173,588","183,880","198,380","213,298","230,300","247,695","272,236","298,960","327,931","357,821","394,338","432,939","478,623","539,213","601,361","673,591","758,686","847,482","950,874","1,064,583","1,171,966","1,307,821","1,428,640","1,575,221","1,690,651","1,819,982","1,992,703","2,152,953","2,317,693","2,446,015","2,634,291","2,809,637","2,974,411","3,147,057","3,326,925","3,530,285","3,768,809","3,992,017","4,308,972","4,540,041","4,743,881","5,000,512","5,310,641","5,664,195","6,020,689","6,339,400","6,613,109","6,662,186","6,868,011","7,122,988","7,369,075","7,587,238","7,959,797","8,363,946","8,752,578","9,147,041","9,633,883","10,057,698"
7,Gross private domestic investment,A006RC,"17,170","11,428","6,549","1,819","2,276","4,296","7,370","9,391","12,967","7,944","10,229","14,579","19,369","11,762","7,405","9,180","12,400","33,128","37,131","50,347","39,099","56,530","62,759","57,274","60,414","58,070","73,754","77,685","76,505","70,947","85,669","86,477","86,584","96,977","103,284","112,150","129,645","144,188","142,700","156,923","173,562","170,049","196,824","228,140","266,925","274,526","257,253","323,224","396,613","478,377","539,657","530,098","631,229","581,034","637,518","820,089","829,650","849,146","892,176","936,963","999,701","993,448","944,344","1,013,006","1,106,826","1,256,484","1,317,489","1,432,055","1,595,600","1,736,671","1,887,059","2,038,408","1,934,842","1,930,417","2,027,056","2,281,253","2,534,720","2,700,954","2,673,011","2,477,613","1,929,664","2,165,473","2,332,562","2,621,754","2,826,013","3,044,178","3,223,077","3,178,709","3,370,687","3,628,305","3,743,929"
8,  Fixed investment,A007RC,"15,630","11,651","7,661","4,169","3,680","4,876","6,230","8,230","10,341","8,519","10,021","12,186","15,039","9,856","8,151","10,104","13,877","27,118","37,681","44,689","41,791","50,761","52,848","53,759","58,466","60,007","68,767","73,735","75,728","71,313","81,752","83,245","83,610","90,876","97,663","107,329","120,398","130,552","132,834","147,871","164,389","168,048","188,569","219,034","251,048","260,536","263,509","306,109","374,289","452,586","521,673","536,430","601,420","595,947","643,269","754,684","807,826","842,575","865,027","918,481","972,008","978,903","944,738","996,678","1,086,012","1,192,700","1,286,316","1,401,255","1,524,674","1,672,952","1,826,243","1,983,864","1,973,126","1,910,443","2,012,961","2,217,186","2,477,207","2,631,965","2,639,060","2,506,855","2,080,435","2,111,555","2,286,300","2,550,542","2,721,483","2,960,212","3,091,207","3,151,639","3,340,497","3,573,581","3,675,636"
9,    Nonresidential,A008RC,"11,560","9,184","5,762","3,294","2,955","3,833","4,829","6,403","8,180","6,279","6,871","8,543","10,823","7,502","6,583","8,608","12,054","19,163","25,473","28,881","26,950","30,017","34,187","34,901","38,768","38,565","43,364","49,748","53,097","48,491","53,124","56,389","56,599","61,233","64,808","72,229","85,235","97,174","99,207","107,672","120,013","124,638","130,416","146,635","172,726","191,070","196,776","219,346","259,060","314,576","373,832","406,910","472,938","485,099","482,156","564,320","607,750","607,763","615,237","662,280","715,993","739,234","723,584","741,937","799,204","868,853","962,247","1,043,194","1,149,088","1,254,144","1,364,477","1,498,432","1,460,067","1,352,848","1,375,880","1,467,369","1,620,986","1,793,801","1,948,563","1,990,871","1,690,432","1,734,981","1,907,465","2,118,527","2,211,494","2,400,057","2,457,411","2,453,145","2,584,749","2,786,922","2,878,117"
10,      Structures,B009RC,"5,491","4,448","2,619","1,392","1,091","1,234","1,433","1,878","2,706","2,124","2,217","2,557","3,250","2,241","1,770","2,369","3,336","7,381","8,137","9,526","9,178","9,957","11,954","12,224","13,570","13,865","15,157","18,180","18,950","17,629","18,149","19,568","19,715","20,778","21,199","23,737","28,321","31,349","31,511","33,557","37,699","40,287","42,679","47,173","54,983","61,237","61,350","65,915","74,578","93,584","117,701","136,170","167,314","177,564","154,344","177,397","194,518","176,527","174,202","182,790","193,716","202,917","183,606","172,572","177,151","186,768","207,270","224,583","250,265","276,004","285,724","321,005","333,510","286,986","286,605","307,653","352,958","425,186","510,302","571,107","455,817","379,784","404,457","479,435","492,521","577,624","572,571","545,781","586,812","633,191","626,984"
11,      Equipment,Y033RC,"5,492","4,180","2,643","1,460","1,436","2,098","2,833","3,881","4,770","3,401","3,883","5,167","6,443","4,065","3,671","5,002","7,285","9,945","15,316","17,280","15,732","17,799","19,874","19,694","21,531","20,812","23,888","26,343","28,561","24,876","28,345","29,679","28,904","32,056","34,367","38,684","45,779","53,023","53,693","58,532","65,163","66,404","69,059","78,885","95,062","104,316","107,615","121,242","148,665","180,634","208,062","216,386","240,852","234,862","246,470","291,874","307,905","317,693","320,919","346,816","372,160","371,891","360,849","381,698","425,141","476,380","528,128","565,309","610,859","660,014","713,626","766,088","711,517","659,640","670,618","721,896","794,894","862,283","893,432","845,381","670,261","777,027","881,274","983,401","1,027,048","1,091,944","1,121,545","1,093,559","1,143,691","1,222,584","1,241,009"
12,      Intellectual property products,Y001RC,577,556,500,442,428,501,563,644,704,754,771,819,"1,130","1,196","1,142","1,237","1,433","1,837","2,020","2,075","2,040","2,261","2,359","2,983","3,667","3,888","4,318","5,225","5,586","5,986","6,630","7,142","7,979","8,399","9,243","9,808","11,135","12,802","14,003","15,582","17,152","17,947","18,678","20,577","22,681","25,517","27,811","32,189","35,817","40,358","48,068","54,354","64,773","72,674","81,343","95,048","105,327","113,543","120,116","132,674","150,117","164,426","179,129","187,667","196,912","205,705","226,849","253,303","287,964","318,126","365,127","411,339","415,040","406,222","418,656","437,819","473,134","506,332","544,828","574,384","564,354","578,170","621,733","655,691","691,925","730,488","763,296","813,805","854,246","931,146","1,010,124"
13,    Residential,A011RC,"4,071","2,467","1,899",875,724,"1,043","1,400","1,826","2,161","2,239","3,151","3,643","4,216","2,353","1,568","1,496","1,823","7,955","12,209","15,808","14,841","20,744","18,661","18,858","19,699","21,442","25,403","23,987","22,631","22,823","28,628","26,856","27,011","29,643","32,855","35,100","35,163","33,378","33,627","40,199","44,375","43,411","58,153","72,399","78,322","69,467","66,733","86,762","115,229","138,010","147,841","129,520","128,482","110,848","161,113","190,364","200,077","234,812","249,790","256,200","256,014","239,669","221,153","254,741","286,808","323,847","324,069","358,061","375,585","418,807","461,766","485,432","513,059","557,594","637,082","749,817","856,221","838,164","690,497","515,984","390,004","376,575","378,836","432,015","509,988","560,156","633,796","698,493","755,749","786,659","797,519"
14,  Change in private inventories,A014RC,"1,539",-223,"-1,112","-2,351","-1,404",-580,"1,141","1,161","2,626",-575,208,"2,393","4,330","1,906",-746,-924,"-1,477","6,011",-551,"5,659","-2,692","5,769","9,911","3,514","1,948","-1,937","4,987","3,950",777,-366,"3,917","3,232","2,974","6,101","5,621","4,821","9,247","13,636","9,866","9,053","9,173","2,001","8,256","9,107","15,878","13,990","-6,256","17,116","22,324","25,791","17,984","-6,331","29,809","-14,914","-5,751","65,405","21,824","6,571","27,149","18,482","27,693","14,546",-394,"16,328","20,814","63,785","31,174","30,799","70,927","63,719","60,816","54,544","-38,284","19,975","14,094","64,068","57,513","68,989","33,950","-29,241","-150,772","53,917","46,262","71,212","104,531","83,966","131,870","27,070","30,189","54,724","68,293"
15,Net exports of goods and services,A019RC,383,323,1,43,58,322,-213,-147,78,966,833,"1,471","1,033",-252,"-2,246","-2,024",-766,"7,182","10,807","5,487","5,235",738,"2,513","1,164",-701,404,478,"2,361","4,075",538,397,"4,204","4,914","4,101","4,939","6,915","5,618","3,863","3,555","1,350","1,431","3,948",621,"-3,373","4,111",-815,"15,977","-1,631","-23,094","-25,366","-22,545","-13,056","-12,519","-19,974","-51,642","-102,727","-114,018","-131,869","-144,770","-109,393","-86,741","-77,855","-28,614","-34,738","-65,173","-92,487","-89,761","-96,376","-101,971","-162,711","-255,834","-375,050","-367,929","-425,402","-503,127","-619,075","-721,193","-770,924","-718,426","-723,088","-396,451","-513,903","-579,462","-568,571","-490,782","-507,658","-519,845","-518,807","-575,336","-638,214","-631,852"
16,  Exports,B020RC,"5,939","4,444","2,906","1,975","1,987","2,561","2,769","3,007","4,039","3,811","3,969","4,897","5,482","4,375","4,034","4,880","6,781","14,156","18,740","15,547","14,484","12,350","17,099","16,459","15,313","15,836","17,677","21,284","24,017","20,560","22,725","27,045","27,602","29,065","31,074","35,019","37,146","40,920","43,467","47,906","51,922","59,709","62,963","70,843","95,270","126,650","138,706","149,515","159,349","186,883","230,130","280,772","305,239","283,210","276,996","302,381","303,211","320,998","363,943","444,601","504,289","551,873","594,931","633,053","654,799","720,937","812,810","867,589","953,803","952,979","992,778","1,096,255","1,024,636","998,741","1,036,177","1,177,631","1,305,225","1,472,613","1,660,853","1,837,055","1,581,996","1,846,280","2,102,995","2,191,280","2,273,428","2,371,704","2,266,800","2,220,609","2,356,726","2,510,250","2,504,293"
17,    Goods,A253RC,"5,347","3,929","2,494","1,667","1,736","2,238","2,404","2,590","3,451","3,243","3,347","4,124","4,533","3,389","2,920","3,589","5,365","11,764","16,097","13,265","12,213","10,203","14,243","13,449","12,412","12,929","14,424","17,556","19,562","16,414","16,458","20,453","20,947","21,709","23,345","26,767","27,974","31,089","32,547","35,721","38,744","45,037","46,196","52,586","75,771","103,494","112,490","121,484","128,410","149,907","187,266","230,428","245,206","222,550","214,049","231,286","227,489","231,447","265,554","332,054","374,750","403,265","430,135","455,308","467,723","518,371","592,442","628,785","699,887","692,565","711,724","795,948","741,205","709,026","737,059","829,962","921,914","1,044,937","1,161,271","1,292,536","1,058,426","1,272,440","1,462,264","1,521,582","1,559,210","1,614,954","1,494,605","1,444,009","1,538,356","1,661,303","1,643,760"
18,    Services,A646RC,592,515,412,308,251,323,365,417,588,568,622,773,949,986,"1,114","1,291","1,416","2,392","2,643","2,282","2,271","2,147","2,856","3,010","2,901","2,907","3,253","3,728","4,455","4,146","6,267","6,592","6,655","7,357","7,729","8,252","9,173","9,831","10,920","12,185","13,178","14,671","16,767","18,257","19,499","23,156","26,216","28,031","30,939","36,976","42,863","50,344","60,033","60,660","62,948","71,094","75,722","89,552","98,389","112,547","129,539","148,608","164,795","177,745","187,076","202,566","220,369","238,805","253,916","260,414","281,054","300,307","283,431","289,715","299,118","347,669","383,311","427,676","499,582","544,518","523,570","573,840","640,731","669,698","714,219","756,749","772,196","776,600","818,371","848,947","860,533"
19,  Imports,B021RC,"5,556","4,121","2,905","1,932","1,929","2,239","2,982","3,154","3,961","2,845","3,136","3,426","4,449","4,627","6,280","6,904","7,547","6,974","7,933","10,060","9,249","11,612","14,586","15,295","16,014","15,432","17,199","18,923","19,942","20,022","22,328","22,841","22,688","24,965","26,135","28,104","31,529","37,057","39,912","46,556","50,491","55,760","62,342","74,216","91,159","127,465","122,730","151,146","182,443","212,250","252,674","293,828","317,758","303,184","328,638","405,107","417,229","452,867","508,713","553,993","591,031","629,727","623,544","667,791","719,973","813,424","902,572","963,966","1,055,774","1,115,690","1,248,612","1,471,305","1,392,565","1,424,143","1,539,304","1,796,706","2,026,418","2,243,538","2,379,280","2,560,143","1,978,447","2,360,183","2,682,456","2,759,851","2,764,210","2,879,362","2,786,645","2,739,415","2,932,062","3,148,464","3,136,144"
20,    Goods,A255RC,"4,463","3,104","2,120","1,343","1,510","1,763","2,462","2,546","3,181","2,173","2,409","2,698","3,416","2,744","3,442","3,813","3,893","5,067","5,973","7,557","6,874","9,081","11,176","10,838","10,975","10,353","11,527","12,803","13,291","12,951","15,310","15,220","15,053","16,869","17,713","19,392","22,247","26,334","27,761","33,946","36,813","40,855","46,550","56,934","71,843","104,520","99,000","124,632","152,629","177,409","212,787","248,570","267,814","250,542","272,677","336,316","343,295","370,006","414,768","452,125","484,792","508,071","500,720","544,927","592,761","676,812","757,449","807,448","885,654","930,751","1,051,210","1,250,105","1,173,773","1,194,371","1,291,341","1,507,346","1,715,464","1,895,719","1,999,662","2,144,269","1,585,371","1,944,815","2,240,535","2,301,396","2,296,372","2,391,555","2,288,060","2,221,080","2,379,802","2,570,614","2,530,084"
21,    Services,B656RC,"1,093","1,017",785,589,419,476,520,608,780,672,727,728,"1,033","1,883","2,838","3,091","3,654","1,907","1,960","2,503","2,375","2,531","3,410","4,457","5,039","5,079","5,672","6,120","6,651","7,071","7,018","7,621","7,635","8,096","8,422","8,713","9,282","10,723","12,151","12,610","13,678","14,905","15,792","17,282","19,316","22,945","23,730","26,514","29,814","34,840","39,887","45,258","49,944","52,642","55,961","68,791","73,934","82,861","93,945","101,869","106,239","121,657","122,824","122,864","127,212","136,612","145,123","156,518","170,120","184,939","197,402","221,199","218,792","229,772","247,962","289,360","310,954","347,818","379,618","415,874","393,076","415,368","441,921","458,455","467,838","487,807","498,585","518,335","552,261","577,850","606,061"
22,Government consumption expenditures and gross investment,A822RC,"9,622","10,273","10,169","8,946","8,875","10,721","11,151","13,398","13,119","14,170","15,165","15,562","27,836","65,440","98,023","108,643","96,396","43,027","39,827","43,755","49,808","50,515","73,304","89,583","96,765","92,467","92,958","98,180","107,163","114,138","118,458","120,520","129,237","140,287","147,193","154,763","164,053","185,444","207,018","225,526","238,984","252,581","267,468","286,189","304,765","341,370","381,128","404,153","434,331","476,336","524,802","589,598","654,381","711,473","766,557","827,910","910,516","976,076","1,031,530","1,078,855","1,151,862","1,238,556","1,298,951","1,344,500","1,364,922","1,402,274","1,449,431","1,492,848","1,547,133","1,611,609","1,720,360","1,826,845","1,949,275","2,088,717","2,211,208","2,338,889","2,475,992","2,624,234","2,790,844","2,981,990","3,073,512","3,154,647","3,148,372","3,137,010","3,132,409","3,167,985","3,237,267","3,306,655","3,412,013","3,591,466","3,752,950"
23,  Federal,A823RC,"1,907","2,017","2,067","2,006","2,458","3,457","3,569","5,777","5,291","5,915","6,237","6,837","19,109","56,699","89,488","100,086","87,222","31,986","25,736","27,041","30,423","29,418","49,947","64,815","70,274","63,255","61,015","63,115","68,453","71,521","73,579","72,875","77,379","85,518","87,875","90,256","93,196","106,575","120,006","127,963","131,193","132,805","134,478","141,646","146,185","158,835","173,729","184,800","200,339","218,922","240,574","274,870","313,980","348,336","382,357","411,805","452,909","481,658","502,785","511,440","534,104","562,377","582,936","588,453","580,169","574,684","576,682","579,159","583,289","585,515","611,347","633,702","670,052","742,984","826,261","891,745","947,462","1,000,691","1,050,508","1,150,585","1,218,189","1,297,919","1,298,930","1,286,540","1,226,578","1,215,002","1,221,539","1,234,100","1,269,340","1,347,269","1,422,975"
24,    National defense,A824RC,"1,056","1,090","1,081","1,051",999,944,"1,174","1,401","1,448","1,513","1,667","2,791","15,368","53,491","86,801","97,272","84,786","27,995","21,072","20,887","22,341","22,649","43,689","57,413","61,134","54,448","52,363","54,958","59,941","62,220","60,945","60,901","64,543","69,701","70,002","69,728","70,583","82,471","95,034","101,357","102,067","100,710","97,995","100,714","102,635","109,894","117,976","124,952","134,408","145,181","160,587","183,405","213,372","245,404","272,055","298,764","329,501","352,359","372,385","382,101","391,228","405,007","414,041","406,465","391,646","382,114","377,159","377,261","371,990","368,753","383,254","392,570","413,162","458,932","521,221","569,878","609,437","640,814","679,264","750,336","787,565","827,971","833,978","814,175","764,221","743,418","730,115","728,374","746,231","793,595","846,189"
25,    Nondefense,A825RC,851,926,986,955,"1,459","2,512","2,395","4,376","3,843","4,402","4,570","4,046","3,741","3,207","2,687","2,814","2,435","3,991","4,663","6,154","8,082","6,769","6,258","7,402","9,140","8,807","8,653","8,156","8,513","9,301","12,633","11,974","12,836","15,818","17,873","20,528","22,613","24,104","24,972","26,606","29,126","32,095","36,483","40,932","43,550","48,940","55,753","59,848","65,931","73,741","79,987","91,465","100,608","102,932","110,302","113,041","123,408","129,298","130,400","129,339","142,876","157,370","168,896","181,988","188,523","192,570","199,523","201,898","211,299","216,763","228,093","241,133","256,890","284,052","305,040","321,866","338,025","359,877","371,244","400,249","430,624","469,948","464,953","472,365","462,357","471,584","491,423","505,727","523,109","553,674","576,786"
26,  State and local,A829RC,"7,714","8,256","8,102","6,940","6,417","7,264","7,582","7,622","7,828","8,256","8,929","8,725","8,727","8,742","8,534","8,558","9,174","11,041","14,091","16,714","19,385","21,097","23,356","24,768","26,490","29,212","31,943","35,065","38,710","42,617","44,879","47,645","51,858","54,768","59,318","64,507","70,858","78,869","87,012","97,563","107,791","119,776","132,990","144,544","158,580","182,536","207,399","219,353","233,992","257,414","284,228","314,728","340,401","363,137","384,200","416,106","457,607","494,418","528,745","567,416","617,758","676,179","716,014","756,047","784,753","827,591","872,749","913,688","963,844","1,026,093","1,109,012","1,193,142","1,279,223","1,345,733","1,384,947","1,447,145","1,528,530","1,623,543","1,740,336","1,831,405","1,855,323","1,856,728","1,849,442","1,850,471","1,905,831","1,952,983","2,015,728","2,072,555","2,142,673","2,244,197","2,329,976"
